scrape_datetime,jk,job_title,company,job_location,post_datetime,job_description
2017-12-14 09:04:39.667183,e179354445c01beb,Data Scientist / Data Analyst,GOGO TECH LIMITED,Hong Kong,2 days ago,"Established in 2013, GOGOVAN is the first app-based platform for transporting goods in Asia, which is dedicated in offering excellent transportations and logistics system through innovative technology. The GOGOVAN app was created to connect individuals and businesses directly to thousands of drivers for their real-time logistic needs, and to redefine the everyday logistics experience by providing a convenient and efficient service. Over the years, GOGOVAN has expanded its business from Hong Kong to Singapore, South Korea, Mainland China, Taiwan and India and will continue to expand globally."
2017-12-14 09:04:39.540835,bc823cab7ae936a6,Data Scientist,Gorilla Group Ltd.,Hong Kong,,"Gorilla Group LTD revitalises the industry with the development of the most advanced mobile queuing application ""THE GULU"" (former name is ""FOOD GULU"").http://www.thegulu.com
THE GULU is a multi-function mobile app, enabling users to remote queue, make reservations, order takeaway with payment, banquet/party booking, e-coupons all inREALTIME.
In addition to the F&B; industry, THE GULU also provides services for other industries as well.
To cope with our rapid expansion in 2017, we are NOW providing an exciting and rewarding career at THE GULU with the following position:"
2017-12-14 09:04:39.916313,93c4b0bd3a87d708,Investment Research Scientist,,Hong Kong,,"My client is a leading US-based quantitative hedge fund with a global reach that is actively looking to build up their operations in Asia.
The firm has built up market data feed handlers, a world-class execution management platform, plus can offer a profit-share agreement to anyone successfully hired. There is also the possibility of working remotely in certain circumstances.
Currently they are looking to hire a number of Investment Research Scientists who will build, run & optimise equity and cross-asset futures portfolios. These can be both medium and high frequency in nature. Havinga performance track record and coding abilities are key.
This is an excellent opportunity to join one of the world's leading quant hedge funds and improve upon your existing alpha models."
2017-12-14 09:04:19.182590,79e017be001a79f9,Data Scientist - Hang Seng Bank (HK),HSBC,"Central, Hong Kong Island",13 days ago,"A Career with Hang Seng Bank
"
2017-12-14 09:04:19.344836,d8e8ce1253c50cf2,Data Scientist,9GAG,Hong Kong,30+ days ago,"ResponsibilitiesAble to work independently with minimal supervision and support.Identify and execute on high impact projects. Projects can range from developing customer retention models or developing a recommendation engine.Collaborate with Web and Data Engineers to build and maintain robust and scalable data reporting and analytics infrastructure and models while proactively surfacing opportunities.Provide deep performance analysis to extrapolate current and historical trends into forecasts, and provide business context to identify and drive critical growth initiatives, from product features to revenue model.Demonstrate the ability to influence outcomes and decisions (not just report on analysis)Be a champion for high quality data-driven decision-making throughout the company by helping other teams develop good metrics and their own data analysis skills.RequirementsLive our values - H2O: Hustle to go all-in to achieve the goal, work hard and work smart; Humble to embrace the better ideas of others; Open to welcome differences and possibilities.BA/BS in Computer Science, Machine Learning, Math, Engineering, Statistics or other technical field. Advanced degrees preferred.Solid knowledge of statistics.Banking/finance/e-commerce or strategy consulting with a focus on technology and/or media is highly desirable.Fluency in SQL, R or experience with at least one programming language (Python, Scala)Hands-on experience with Spark, Hadoop, etc.Ability to design, lead and execute analysis and effectively communicate insights, ideas and conclusions clearly to team members across the organization, technical and nontechnical alike.Highly motivated, and able to think clearly under pressure.Excellent communication skills.Real-world experience in machine learning, data mining and NLP to surface valuable insights in our dataset. (Bonus).You can teach us something new! We love to hire people who are way more knowledgeable than us in some area and can be good teachers and mentors.Latent interest and passion on social media platforms and product trends.No haters!DesiredActive user of 9GAG.To Applyhttps://9gag.com/jobsJob Type: Full-time"
2017-12-14 09:04:19.506216,09a1cdff93c2fa8a,Junior Data Scientist - Quantitative Trading,Aoling Investments,"Wong Tai Sin, Kowloon",30+ days ago,"A small proprietary trading firm based in HK specialised in high frequency trading and quantitative trading is looking for talents to expand its quantitative research team.MS or PhD candidates in quantitative disciplineStrong statistical and mathematical modeling skillAbility to write R/Python, skillful in Excel/VBAInterested candidates please apply via APPLY NOW .Job Type: Full-time"
2017-12-14 09:04:19.637177,5ac229c76497d8e5,Data Scientist,AUREXIA Consulting,Hong Kong,21 days ago,"Aurexia is a European and Asian based business consulting boutique dedicated solely to the financial service industry. We deliver innovative solutions in all financial areas: CIB, Asset Management Securities Services, Wealth Management/Private banking and Finance and Risk.


Utilising our business expertise, quality and creativity we partner with clients to solve their most complex problems, delivering their highest priority and strategic initiatives.


Priding ourselves on forcing our clients to think differently about their business and their most significant issues, as a result helping them successfully increase revenue, manage risk and regulatory change, reduce costs and enhance control


At Aurexia, we believe that we all develop faster when working together as an integrated team including clients for this reason collaboration and knowledge sharing are key cornerstones of our principles. We are also conscious that it takes more than exciting and challenging projects to keep our people happy and stimulated at work. That’s why we are constantly investing in our culture; working at Aurexia you will get a unique opportunity to participate in our internal life and make a real difference in our development. We strive to find the right balance for our people in order to deliver excellent client services while enabling you to carve out your career without giving up your personal priorities.


We are growing fast and are looking for like minded people to come and join us on the journey.


What you will be doing as a Data Scientist :

Design and create complex algorithms, build models, and prototype solutions for multiple projects and stakeholders within a global organisation working towards business and consumer insight
You will work closely with a small team recently brought together to bring inhouse the consumer insight analytics.
You will be versed in using machine learning and large-scale data mining techniques to discover and identify actionable patterns in data and develop hypotheses and models
You will help design hypothesis tests, oversee execution, and perform rigorous statistical evaluation of the results to produce actionable insights
Manage stakeholders and guide them in unlocking the value in their data
You should champion the scientific method and strive for excellence in results at all times, balanced with working in an ‘Agile’ way to achieve rapid turnaround
Required experience:

Demonstrated experience using technology such as R, Python or similar to analyse, transform and visualize big data
Ability to build models (such as linear regression, logistic, Markov models etc.) and use machine learning techniques
Focus, resilience and a passion for problem solving. Able to easily continue to find solutions and work towards goals when setbacks occur
Strong knowledge of data/analytical tools, including Excel, database querying (SQL), relational databases; aptitude and willingness to learn new tools quickly
Hands-on use of big data in large and complex projects using Hadoop, Spark would be a plus
Work Experience and Education Guidelines:

Degree in Statistics, Mathematics, Data Science, Engineering, Economics, or similar
Experience in a role focused on statistical modelling, econometrics, marketing attribution, data science or similar
Passionate about data, models and visualizations
Excellent problem-solving skills, self-motivated with the capacity to work under pressure and tight deadlines
Previous experience with SAS a big plus"
2017-12-14 09:04:19.772500,fa611f4e94d101c8,Data Scientist,Classy Wheeler,"Sheung Wan, Hong Kong Island",30+ days ago,"Client Description

US-based IT service vendor


Job Description

• Degree in Computer Science, Statistics, Applied Math or related field 8+ year experience in data mining and statistical analysis Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Experience with programming languages such as R/Python etc.

• Research and develop statistical learning models for data analysis Collaborate with product management and engineering departments to understand company needs and devise possible solutions Communicate results and ideas to key decision makers Implement new statistical or other mathematical methodologies as needed for specific models or analysis Optimize joint development efforts through appropriate database use and project design Proficient in Cantonese & English"
2017-12-14 09:04:19.903567,2b9e6c6394dc66a3,Data Scientist 分析專員,Hong Kong Air Cargo Terminals - HACTL,Hong Kong,19 days ago,"Duties
"
2017-12-14 09:04:20.042247,2fec2995624125da,Data Scientist / Computational Scientist,Cluster Technology Ltd,Hong Kong,30+ days ago,"Solving practical problems by using computational skills and cross-category approaches of data mining/statistics/artificial intelligence/mathematical optimization;

Utilize user characteristics and behavior data, financial data to do data mining and model building analysis;

Participate in client research to collect users’ need, prepare reports of clients’ behavior analysis;

Be required to travel to mainland on a need basis.

Requirements

Major in Computer Science, Engineering, Statistics or related disciplines;

1-2 years hands on relevant working experience;

Good at analytical thinking with solid mathematics knowledge;

Good master of foundation theories and approaches of data mining or statistics field;

Proficiency in Java, Python, R or at least one programming language;

Knowledge on data structure and algorithm;

Experience on processing mass data, model building, and product improvement by mathematical approach is preferable;

Knowledge on MYSQL,ORACLE database operation with excellent tuning skills is an advantage;

Knowledge on machine learning or statistics field with experience on data mining projects is preferred;

Team spirit, proactive in idea sharing with good communication skills (Chinese and English);

Preference will be given to candidates with high integrity, team spirit, strong sense of responsibility, and passion for the application of modern computing technology in China.

Basic Benefits

Benefits & Job application method - 香港 Hong Kong HK

We offer competitive remuneration package including 5-day work and 15 days annual leave to the right candidate with excellent career advancement.

Application Method:
Interested parties please apply with detailed resume (in MS Word / PDF Format), stating current and expected salary to recruit@clustertech.com , or post to:

The Human Resources Department,

Units 211-213, Lakeside 1,

No. 8 Science Park West Avenue,

Hong Kong Science Park,

Shatin, New Territories, Hong Kong

All applications will be treated in strict confidence. Personal information collected will be used solely for the purpose of recruitment. If you are not invited for an interview within 4 weeks, your application will be filed for a further 2 years and be considered for any other appropriate positions within the company or related companies."
